일,스트레스,우울증,자살,힘들,집값
2022-07-01,21,42,71,0,45
2022-08-01,21,43,74,0,54
2022-09-01,21,38,72,0,71
2022-10-01,19,39,61,0,61
2022-11-01,21,36,65,0,50
2022-12-01,18,32,57,0,53
2023-01-01,19,34,61,0,42
2023-02-01,21,34,52,0,33
2023-03-01,23,39,68,0,28
2023-04-01,21,48,100,0,26
2023-05-01,20,45,76,0,22
2023-06-01,20,36,69,0,18
2023-07-01,17,34,56,0,19
2023-08-01,17,35,54,0,20
2023-09-01,18,31,56,0,25
2023-10-01,17,32,59,0,24
2023-11-01,17,31,48,0,21
2023-12-01,14,31,57,0,21
2024-01-01,16,32,53,0,16
2024-02-01,17,31,44,0,13
2024-03-01,19,31,49,0,13
2024-04-01,19,30,51,0,14
2024-05-01,18,31,47,0,12
2024-06-01,18,28,48,0,15
2024-07-01,16,27,42,0,19
2024-08-01,15,28,46,0,21
2024-09-01,17,27,43,0,17
2024-10-01,17,26,49,0,12
2024-11-01,15,24,52,0,9
2024-12-01,15,23,47,0,10
2025-01-01,11,20,39,0,10
2025-02-01,12,30,48,0,8
2025-03-01,13,22,48,0,9
2025-04-01,12,17,50,0,6
2025-05-01,13,18,40,0,6
2025-06-01,12,20,38,0,21
