일,스트레스,해소,두통,운동
2022-07-01,86,37,86,97
2022-08-01,87,39,100,91
2022-09-01,84,35,84,88
2022-10-01,76,34,76,76
2022-11-01,84,36,75,72
2022-12-01,72,36,78,74
2023-01-01,78,35,78,86
2023-02-01,85,33,72,77
2023-03-01,94,38,71,91
2023-04-01,87,41,77,79
2023-05-01,81,38,80,85
2023-06-01,83,34,63,82
2023-07-01,70,29,62,76
2023-08-01,69,31,67,80
2023-09-01,73,29,56,67
2023-10-01,70,31,65,63
2023-11-01,69,33,57,61
2023-12-01,59,35,62,55
2024-01-01,63,32,62,80
2024-02-01,68,30,51,59
2024-03-01,75,32,50,64
2024-04-01,77,33,55,67
2024-05-01,72,31,59,63
2024-06-01,72,28,47,57
2024-07-01,65,27,49,59
2024-08-01,62,29,50,71
2024-09-01,67,26,48,60
2024-10-01,70,28,50,61
2024-11-01,60,29,52,55
2024-12-01,59,25,45,54
2025-01-01,46,27,45,61
2025-02-01,50,24,45,87
2025-03-01,54,24,43,64
2025-04-01,50,23,41,44
2025-05-01,55,19,31,47
2025-06-01,49,17,36,50
